artist_id,artist_name,playlist_id
68kEuyFKyqrdQQLLsmiatm,Vince Staples,6
01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,6
2iojnBLj0qIMiKPvVhLnsH,Trey Songz,6
4RnBFZRiMLRyZy0AzzTg2C,Run The Jewels,6
2O2dI9lY9PnWtAa4OlrgMi,Pell,6
3TVXtAsR1Inumwj472S9r4,Drake,6
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,6
1QYLPCha8SMSkIBQhyiYfx,Treasureseason,7
2tmWjaROlvLpahIZcvPLwi,Jez Dior,7
09Q3LRCs5HY6QYuZdV0RpC,Be Calm Honcho,7
7fSnislKgW9Mz0YIqWQmGt,San Fermin,7
2x6ZJCZ09aVIZJHEwkcdR7,Such Hounds,7
0IbWNNqUJWp6qjQePARgTp,Sinclair,7
7MlotYZhHjOlXcvmwrITj8,Tep No,7
7JFtD8KnbAADBBDleIMuH7,The Lone Bellow,7
0J626PVezyRujeAfXAssnH,Slum Sociable,7
7HIjKw4rHS0MtmV0cqSlpB,Cathedrals,7
0MmnmsAuQKRFpo6vJElcaU,Amber Run,7
71zBpZsf6YDEBfWayKdAOA,MADE IN HEIGHTS,7
134GdR5tUtxJrf8cpsfpyY,Elliphant,7
6zg9H7xs8aqRSsmouYUuXu,The Wild Wild,7
7xUZ4069zcyBM4Bn10NQ1c,Ásgeir,7
49tQo2QULno7gxHutgccqF,LANY,7
6bL5JikwxepLltruuY6s4c,Tiny Victories,7
28VNa0Rpo17UdfC9bIcNcj,Gedeon Luke and the People,7
4VA3EAvncrTucjTmrvd4GE,LION BABE,7
20LhC1gJIZQvzwrrHprZiJ,Robby Hunter Band,7
4lujUKeO6nQAJXpq37Epn7,Son Little,7
4qOzMSukiZoiSjPQw8Zs7s,Mansionair,7
1R4GxRuSVTPSb6oy56SPST,Gabriel Garzon-Montano,7
3HrczLBDJXJu6dJWEMbKHa,Garden City Movement,7
1ShZZUjkbXCjhwrb18BA8I,Bryce Vine,7
