spotify_id,echonest_id,title,echonest_artist_id,artist_name,album,duration,tempo,time_signature,key,mode,loudness,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,spotify_artist_id
3NtTUANUpLGFy5lSkE5xNq,SOTDVGH1498F25FA6A,Aware,ARVABVP1241B9C6DAC,Leland,,236.96204,79.043,4,0,0,-6.252,0.094188,0.633599,0.426949,3e-06,0.164648,0.061864,0.434357,7dnMXd8vKl0C2NUZvkyd69
5aZGAJ8Fi94ryWAM9WjneG,SOFQGKU14AFAD8C9A7,Gemini,ARCWZOM13100D71E15,Lost Lander,,256.45229,119.989,4,5,0,-5.714,0.047785,0.439996,0.844934,0.001267,0.118083,0.10083,0.616928,7LWo3WwQsPX8yCu3Mpdczf
0lbHDgyfGxvDbCrFNjka2G,SOMZHXL14AFFFF11CE,Walking on a Wire,ARCWZOM13100D71E15,Lost Lander,,254.76844,113.003,4,2,1,-5.717,0.376719,0.665293,0.807955,0.001051,0.089507,0.035392,0.583764,7LWo3WwQsPX8yCu3Mpdczf
3oNVYgnahEgTzWt2UX42bO,SOERCWU14AFFFF1FE2,Never Go Easy,ARCWZOM13100D71E15,Lost Lander,,231.57542,162.863,3,8,1,-7.378,0.05992,0.506249,0.610732,0.000573,0.075682,0.055758,0.437503,7LWo3WwQsPX8yCu3Mpdczf
4PTPZeJlK1rYlYr6bf11hk,SOQDXJP14A411848FD,You're On,ARZTGQV13100D727D8,Madeon,,192.70667,100.123,4,7,0,-3.239,0.027289,0.511032,0.916945,0.0,0.819227,0.123961,0.232668,4pb4rqWSoGUgxm63xmJ8xc
2NRKqJK2nFpr0VHn74EwhV,SOCVNLQ1493738734A,Imperium,ARZTGQV13100D727D8,Madeon,,199.28,110.051,4,1,1,-1.748,0.00015,0.638348,0.945852,0.042923,0.204811,0.079297,0.481267,4pb4rqWSoGUgxm63xmJ8xc
6XRUiRFxayi9E6UKnOZhXn,SOUUUZE144A00FA730,Wake Me,ARWREEW12FE0870BC8,Midnight Faces,,238.16662,121.991,4,9,1,-6.282,0.074998,0.555004,0.701546,0.442201,0.152031,0.027641,0.323656,5qRfSHifavRrWmkI9oaaIM
7pwL81uyrNxNUcvf40bLOQ,SOXQQSW144A00FE31E,Give It Up,ARWREEW12FE0870BC8,Midnight Faces,,219.47456,112.003,4,2,1,-7.249,0.076555,0.646554,0.818797,0.001198,0.081059,0.030623,0.45702,5qRfSHifavRrWmkI9oaaIM
3Ub9E48cI42VPMohSKqRGP,SORAGOV144A00FEDEA,Animal,ARWREEW12FE0870BC8,Midnight Faces,,283.84027,179.872,4,10,1,-9.242,0.051512,0.523241,0.439597,0.011852,0.096805,0.040204,0.093863,5qRfSHifavRrWmkI9oaaIM
3QzbEvmnuZIONNv82PylZb,SORCPDN14AD244CCB3,Our Own House,ARDHBAZ1412A317967,MISTERWIVES,,232.22667,125.776,4,8,1,-4.661,0.002339,0.587523,0.762285,0.000218,0.051028,0.052333,0.450786,5ivCbtrcD5N4rD337xIb2z
6757Pp7vTy2a4qUPWCLvmH,SOKENHR14B179C3FE7,Hurricane,ARDHBAZ1412A317967,MISTERWIVES,,239.18667,100.953,4,1,1,-6.156,0.022154,0.562578,0.732654,0.0,0.087652,0.03977,0.381829,5ivCbtrcD5N4rD337xIb2z
5fcWsUs0Au4IxrhWMFQAj3,SOUYPCR14B63906F0D,Queens,ARDHBAZ1412A317967,MISTERWIVES,,193.94667,81.805,4,3,1,-6.582,0.51495,0.535912,0.672846,0.0,0.109231,0.048836,0.314195,5ivCbtrcD5N4rD337xIb2z
5mhWgUuBIbvQSx3FoFeDIS,SOLYDGP14ADC9A1688,Strange Eyes,ARU6YQZ1187B9B7B57,Murder by Death,,194.86667,129.912,4,5,1,-7.347,0.171176,0.429626,0.705499,0.660514,0.109236,0.058969,0.144718,3yrQJxTTj7xS2deLcXiEM3
4LasgvllN0I6swXxeTHfyE,SOTUWWR1498C93C434,So Good,ARJJIKO1187B9B5991,Nao,,180.68726,96.024,5,4,0,-8.249,0.31831,0.592823,0.210605,1e-06,0.100822,0.273237,0.840866,7aFTOGFDEqDtJUCziLVsVC
6xh5I5PrFpHMJZUlZi5bV6,SOMWKXQ149897203EA,Take Control of You,ARJJIKO1187B9B5991,Nao,,245.43079,99.974,4,2,1,-7.285,0.001381,0.627204,0.818199,0.013976,0.321558,0.033966,0.34256,7aFTOGFDEqDtJUCziLVsVC
0mDzyHYPlImlgCVyeLVdjs,SOSDQJC1498A94B4A9,Adore You,ARJJIKO1187B9B5991,Nao,,212.3419,91.998,4,11,0,-9.427,0.616324,0.675765,0.599708,0.000358,0.050816,0.188841,0.655461,7aFTOGFDEqDtJUCziLVsVC
2WBSdRYPXqGOZ8mk9iBQBN,SOHEBXZ14A7DC8E1F8,Ban All the Music,ARBGYGS1377A5F0597,Nothing but Thieves,,172.49333,165.18,4,0,1,-3.538,1.6e-05,0.215078,0.943824,0.002561,0.246604,0.135518,0.294032,1kDGbuxWknIKx4FlgWxiSp
1uvei8KYOJEm0pOQZAtSxr,SOHCBQR1425845535B,Itch,ARBGYGS1377A5F0597,Nothing but Thieves,,197.83143,149.945,4,11,1,-4.524,0.000209,0.379132,0.805441,0.008098,0.12005,0.041751,0.220063,1kDGbuxWknIKx4FlgWxiSp
1XmqRHOaGcfDHniVMhcseX,SOZUSUJ148EDFFBC20,Illume,ARVMIJH1475B9148A8,Osca,,245.69705,151.882,4,3,1,-7.948,0.211739,0.389114,0.468807,0.086882,0.09393,0.02624,0.2522,25tgGtNqDW1omxhzGMbpcw
28ENK6HpSmtc4JUljxZqe5,SOHOTDI14C18B6F977,A Thousand Matches (feat. Gbmqn1500003),ARMTZR11187B9AD0C2,Passenger,,225.94862,125.107,4,4,1,-10.547,0.675397,0.487518,0.445931,1.1e-05,0.101996,0.050119,0.432319,0gadJ2b9A4SKsB1RFkBb66
0WjvB0SzNvgmuM46UjcMr8,SOMLDVC14B767C791F,Lifted Up (1985),AR6PFD411C8A416424,Passion Pit,,263.29333,125.033,5,0,1,-3.928,0.013957,0.567796,0.815958,0.000231,0.155386,0.028125,0.313724,7gjAu1qr5C2grXeQFFOGeh
